Protein (g),Fat (g),Carbohydrate (g),sugar (g),fiber (g),Calories,Weight,saturated fat,unsaturated fat,file_name,date,time,name,units,weight,calories,carbohydrates,protein,fat,sugar,fiber,cholesterol,meal_type,llm_output,GI,essential_amino_acids,nonessential_amino_acids,total fat,histidine,isoleucine,leucine,lysine,methionine,phenylalanine,threonine,tryptophan,valine,alanine,arginine,aspartic acid,cysteine,glutamic acid,glycine,proline,serine,tyrosine
,,,,,,,0.0,0.0,20240105_22H:39M_template.png,2024-01-05,22:39:19,template,1,0.0,188.0,43.4,4.8,0.7,43.4,0.0,0.0,Lunch,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,13.18,6.65,20240105_22H:40M_template.png,2024-01-05,22:40:01,template,1,0.0,325.0,25.4,6.2,42.63,15.5,0.6,0.0,Dinner,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,10.64,5.73,20240105_22H:45M_template.png,2024-01-05,22:45:34,template,1,0.0,460.0,73.7,5.5,34.37,43.0,0.0,0.0,Dessert,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0.0,0.0,20240105_23H:25M_template.png,2024-01-05,23:25:36,template,1,0.0,188.0,43.4,4.8,0.7,43.4,0.0,0.0,Other,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,4.41,2.42,20240105_23H:27M_template.png,2024-01-05,23:27:07,template,1,0.0,133.0,10.9,1.7,16.33,7.4,2.5,0.0,Other,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,3.27,4.42,"20240105_23H:30M_Banana_bread,_homemade.png",2024-01-05,23:30:12,"Banana bread, homemade",1,0.0,331.0,53.9,4.4,20.09,36.3,0.0,0.0,Breakfast,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5.87,5.64,"20240105_23H:31M_Tarts,_custard,_individual.png",2024-01-05,23:31:26,"Tarts, custard, individual",1,0.0,263.0,28.7,6.7,25.81,14.2,1.1,0.0,Lunch,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5.87,5.64,"20240105_23H:32M_Tarts,_custard,_individual.png",2024-01-05,23:32:23,"Tarts, custard, individual",1,0.0,263.0,28.7,6.7,25.81,14.2,1.1,0.0,Dinner,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,9.65,10.12,"20240108_22H:06M_Pastries,_Greek,_baklava,_retail.png",2024-01-08,22:06:24,"Pastries, Greek, baklava, retail",1,0.0,456.0,54.1,6.7,44.87,29.0,2.0,0.0,Dessert,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0.39,2.14,"20240108_22H:07M_Curry,_vegetable,_with_yogurt,_UK_type,_homemade.png",2024-01-08,22:07:26,"Curry, vegetable, with yogurt, UK type, homemade",1,0.0,64.0,4.7,2.2,6.53,4.0,0.0,0.0,Other,,,,,,,,,,,,,,,,,,,,,,,
